"year","team_name","conference","division","Jersey","player_name","Yr","Pos","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","Ht","B/T","team_id","conference_id","player_id","player_url"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"37","Tyler Mileski","Fr","P",3,0,15,3,5,6,5,2,0,0,16,14,2,0,0,2,1,0,0,0,0,0,0,59,3,5,0,0,0,0,"6-0","R/R",597209,873,9216935,"http://stats.ncaa.org/players/9216935?year_stat_category_id=15688"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"22","Billy Bourk","Fr","UT",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-6","L/R",597209,873,9216910,"http://stats.ncaa.org/players/9216910?year_stat_category_id=15688"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"40","Reid Tinstman","So","P",1,0,0,1,1,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,1,"5-10","L/L",597209,873,9216940,"http://stats.ncaa.org/players/9216940?year_stat_category_id=15688"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"31","Parker Faris","Fr","P",7,3,8.4,15,19,14,14,6,11,0,69,59,4,0,0,2,1,2,0,0,0,1,1,213,15,15,3,1,0,2,"6-6","R/R",597209,873,9216929,"http://stats.ncaa.org/players/9216929?year_stat_category_id=15688"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"41","Sean Parker","Fr","P",2,1,3.68,7.1,10,4,3,3,11,0,37,31,3,3,0,0,2,2,0,0,0,0,1,150,4,6,1,0,0,4,"6-1","R/R",597209,873,9216941,"http://stats.ncaa.org/players/9216941?year_stat_category_id=15688"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"39","Logan Hunt","Jr","P",7,0,8.31,8.2,10,8,8,4,4,0,38,34,2,0,2,0,2,0,0,0,0,0,0,136,10,9,0,1,0,0,"6-2","R/R",597209,873,9216936,"http://stats.ncaa.org/players/9216936?year_stat_category_id=15688"
2025,"Albertus Magnus","Great Northeast",3,"17","Alexander Heidel","Fr","P",5,1,9.18,16.2,22,17,17,10,11,0,87,74,4,0,2,2,2,3,0,0,0,0,0,280,20,18,1,1,0,1,"5-10","L/L",597146,23257,9308811,"http://stats.ncaa.org/players/9308811?year_stat_category_id=15688"
2025,"Albertus Magnus","Great Northeast",3,"1","Tyler Baldwin","Sr","P",10,2,10.62,20.1,31,30,24,16,11,0,111,89,13,0,0,3,4,4,0,0,0,0,2,328,22,22,0,2,0,4,"5-7","R/R",597146,23257,9308755,"http://stats.ncaa.org/players/9308755?year_stat_category_id=15688"
2025,"Albertus Magnus","Great Northeast",3,"2","Eric Galarza","Sr","UT",1,1,21.6,1.2,3,4,4,4,3,0,12,8,0,0,0,1,0,0,0,0,0,0,0,51,1,1,0,0,0,0,"5-10","L/L",597146,23257,9308756,"http://stats.ncaa.org/players/9308756?year_stat_category_id=15688"
2025,"Albertus Magnus","Great Northeast",3,"15","Nick Kownack","Sr","P",2,0,33.75,1.1,3,7,5,6,1,0,14,8,1,0,0,0,3,0,0,0,0,0,0,57,0,3,0,0,0,0,"6-3","R/R",597146,23257,9308809,"http://stats.ncaa.org/players/9308809?year_stat_category_id=15688"
2025,"Albertus Magnus","Great Northeast",3,"6","Nathan Rivera","Fr","P",7,3,5.48,21.1,16,14,13,24,23,0,104,75,3,0,0,1,3,4,0,0,0,0,1,373,16,18,2,0,0,4,"6-1","L/L",597146,23257,9308758,"http://stats.ncaa.org/players/9308758?year_stat_category_id=15688"
2025,"Albertus Magnus","Great Northeast",3,"28","Ryan Green","Jr","P",4,0,7.88,8,7,9,7,10,11,0,43,33,2,0,0,1,4,0,0,0,0,0,0,139,11,2,0,1,0,0,"5-10","R/R",597146,23257,9308818,"http://stats.ncaa.org/players/9308818?year_stat_category_id=15688"
2025,"Albertus Magnus","Great Northeast",3,"36","Toby Marineau","So","P",3,1,3.18,5.2,5,2,2,3,5,0,28,21,0,0,0,0,0,3,0,0,0,0,1,48,6,5,0,0,0,2,"6-1","R/R",597146,23257,8888933,"http://stats.ncaa.org/players/8888933?year_stat_category_id=15688"
2025,"Albertus Magnus","Great Northeast",3,"12","Jack Angelo","So","P",5,2,4.7,23,22,13,12,7,11,0,97,89,3,0,0,3,1,1,0,0,0,0,0,338,12,43,2,0,0,4,"5-10","R/R",597146,23257,8887885,"http://stats.ncaa.org/players/8887885?year_stat_category_id=15688"
2025,"Albertus Magnus","Great Northeast",3,"21","Aaron McIntyre","So","P",8,0,5.94,16.2,14,14,11,12,18,0,75,60,4,0,0,0,2,1,0,0,0,0,2,212,21,8,0,1,1,12,"5-7","R/R",597146,23257,8889216,"http://stats.ncaa.org/players/8889216?year_stat_category_id=15688"
2025,"Albertus Magnus","Great Northeast",3,"22","Kyle Hensel","Sr","P",1,0,54,0.1,2,3,2,2,0,0,6,4,0,0,1,0,1,0,0,0,0,0,0,27,1,0,0,0,0,0,"6-0","R/R",597146,23257,8901423,"http://stats.ncaa.org/players/8901423?year_stat_category_id=15688"
2025,"Albertus Magnus","Great Northeast",3,"16","Albert Molina","So","P",6,6,11.05,22,46,36,27,15,7,0,136,110,10,0,0,2,1,6,0,0,0,4,1,346,16,41,1,5,0,2,"5-9","R/L",597146,23257,8901488,"http://stats.ncaa.org/players/8901488?year_stat_category_id=15688"
2025,"Albertus Magnus","Great Northeast",3,"10","Kevin Pascual","So","UT",4,4,13.2,15,31,32,22,16,5,0,97,73,8,1,0,3,3,4,0,0,0,1,3,328,14,24,0,4,0,4,"6-1","R/R",597146,23257,8901681,"http://stats.ncaa.org/players/8901681?year_stat_category_id=15688"
2025,"Albertus Magnus","Great Northeast",3,"31","RJ Corgan","Jr","P",8,3,8.64,33.1,59,38,32,13,22,0,175,158,6,2,0,5,2,2,0,0,0,0,2,547,21,53,1,2,0,10,"6-3","R/R",597146,23257,8901098,"http://stats.ncaa.org/players/8901098?year_stat_category_id=15688"
2025,"Albion","Michigan Intercol. Ath. Assn.",3,"25","Andrew Renner","Sr","INF",8,1,5.29,17,15,10,10,15,17,0,80,60,5,0,0,0,4,3,0,0,0,1,1,291,12,16,1,1,2,1,"-","",597210,873,8883951,"http://stats.ncaa.org/players/8883951?year_stat_category_id=15688"
2025,"Albion","Michigan Intercol. Ath. Assn.",3,"5","Zak Kelly","Jr","P",5,2,2.3,15.2,11,4,4,6,12,0,69,57,3,0,0,2,3,5,0,0,0,0,1,239,10,24,1,0,0,4,"-","",597210,873,8882894,"http://stats.ncaa.org/players/8882894?year_stat_category_id=15688"
2025,"Albion","Michigan Intercol. Ath. Assn.",3,"9","Luke Robertson","Sr","P",4,0,13.5,4,2,7,6,8,4,0,24,13,1,0,0,1,3,3,0,0,0,0,0,70,4,3,0,0,0,1,"-","",597210,873,8876423,"http://stats.ncaa.org/players/8876423?year_stat_category_id=15688"
2025,"Albion","Michigan Intercol. Ath. Assn.",3,"39","Ryan Driscoll","Sr","P",8,1,6.35,17,25,16,12,7,12,0,86,73,5,0,0,1,1,4,0,0,0,2,0,195,17,19,1,1,1,4,"-","",597210,873,8884597,"http://stats.ncaa.org/players/8884597?year_stat_category_id=15688"
2025,"Albion","Michigan Intercol. Ath. Assn.",3,"17","Ian Balint","Jr","P",6,0,0.96,9.1,8,3,1,4,9,0,42,34,0,0,0,0,0,2,0,0,0,1,1,139,9,9,0,0,1,3,"-","",597210,873,8875458,"http://stats.ncaa.org/players/8875458?year_stat_category_id=15688"
2025,"Albion","Michigan Intercol. Ath. Assn.",3,"18","Brayden Raether","Sr","P",7,7,4.54,41.2,43,26,21,16,36,0,192,157,9,2,0,1,2,9,0,0,0,6,4,423,36,47,1,6,0,9,"-","",597210,873,8880618,"http://stats.ncaa.org/players/8880618?year_stat_category_id=15688"
2025,"Albion","Michigan Intercol. Ath. Assn.",3,"22","Sean Cooper","Sr","P",8,1,5.27,13.2,11,11,8,15,8,0,68,49,1,1,0,0,3,0,0,0,0,1,3,226,12,19,1,0,0,3,"-","",597210,873,8894586,"http://stats.ncaa.org/players/8894586?year_stat_category_id=15688"
2025,"Albion","Michigan Intercol. Ath. Assn.",3,"16","Brendan Schultz","So","P",7,2,6.41,19.2,19,16,14,14,17,0,93,74,2,1,0,0,4,3,0,0,0,2,0,297,20,17,1,1,0,5,"-","",597210,873,8898889,"http://stats.ncaa.org/players/8898889?year_stat_category_id=15688"
